#node	date	numeric date
seq_622	2005-08-16	2005.623288
NODE_0000327	2005-07-08	2005.516346
seq_662	2006-11-17	2006.878082
NODE_0000328	2007-04-07	2007.263693
seq_687	2009-05-04	2009.338356
NODE_0000330	2008-08-05	2008.593819
seq_683	2009-07-11	2009.524658
NODE_0000331	2009-05-01	2009.330137
seq_686	2009-05-01	2009.330137
NODE_0000332	2014-01-19	2014.049544
seq_420	2014-04-15	2014.286301
seq_419	2014-04-15	2014.286301
seq_421	2014-04-15	2014.286301
NODE_0000334	2007-06-26	2007.484129
NODE_0000335	2007-08-23	2007.642667
seq_724	2014-04-07	2014.264384
seq_288	2010-10-07	2010.765753
NODE_0000337	2007-11-23	2007.893555
seq_682	2009-07-11	2009.524658
seq_718	2010-08-17	2010.626027
NODE_0000338	2012-03-09	2012.188150
seq_734	2017-07-20	2017.549315
NODE_0000339	2013-03-21	2013.218102
NODE_0000340	2015-03-04	2015.171579
seq_357	2017-10-30	2017.828767
seq_762	2022-06-09	2022.436986
NODE_0000341	2013-09-13	2013.698709
seq_741	2018-11-13	2018.867123
NODE_0000342	2015-01-30	2015.079770
seq_761	2022-06-16	2022.456164
NODE_0000343	2016-04-25	2016.314801
seq_764	2022-08-24	2022.645205
seq_769	2022-12-12	2022.946575
NODE_0000344	1925-01-09	1925.022255
NODE_0000345	1928-05-25	1928.397169
seq_095	1929-12-31	1929.998630
NODE_0000346	1928-09-30	1928.747014
seq_137	1942-01-08	1942.020548
NODE_0000347	1928-11-16	1928.876970
seq_096	1930-12-31	1930.998630
NODE_0000348	1931-01-11	1931.028767
seq_134	1931-01-11	1931.028767
seq_135	1931-01-11	1931.028767
NODE_0000349	1932-09-29	1932.743609
seq_050	1934-12-31	1934.998630
NODE_0000350	1946-06-22	1946.473871
seq_136	1954-01-05	1954.012329
NODE_0000351	1957-01-01	1957.001370
seq_054	1957-01-01	1957.001370
NODE_0000352	1964-02-10	1964.111434
NODE_0000353	1964-04-02	1964.253553
seq_052	1966-01-01	1966.001370
NODE_0000354	1965-01-29	1965.077333
seq_053	1967-01-01	1967.001370
seq_056	1970-01-01	1970.000000
NODE_0000355	1968-03-20	1968.217382
seq_058	1975-01-01	1975.001370
NODE_0000356	1969-12-18	1969.962972
seq_057	1971-01-01	1971.001370
NODE_0000357	1972-08-25	1972.649018
NODE_0000358	1976-01-01	1976.000000
seq_192	1993-04-21	1993.302740
seq_045	1976-01-01	1976.001366
seq_633	1976-01-01	1976.001366
seq_771	1976-01-01	1976.000000
NODE_0000360	1977-01-01	1977.001370
seq_043	1978-01-01	1978.001370
seq_059	1977-01-01	1977.001370
NODE_0000363	1973-01-16	1973.042775
NODE_0000364	1973-03-21	1973.218115
seq_143	2005-01-01	2005.001370
NODE_0000366	1973-04-30	1973.327387
seq_098	1982-01-01	1982.001370
NODE_0000367	1974-09-03	1974.671482
NODE_0000359	1976-01-01	1976.001366
seq_663	1976-01-01	1976.001366
seq_655	1976-01-01	1976.001366
NODE_0000369	1974-10-30	1974.827548
seq_646	1976-01-01	1976.001366
NODE_0000370	1974-12-02	1974.918855
seq_639	1976-01-01	1976.001366
seq_642	1976-01-01	1976.001366
NODE_0000371	1973-07-11	1973.524652
NODE_0000372	1975-07-18	1975.544567
seq_046	1978-01-01	1978.001370
NODE_0000373	1976-12-19	1976.967137
seq_044	1978-01-01	1978.001370
seq_048	1978-01-01	1978.001370
NODE_0000374	1976-03-26	1976.233609
NODE_0000375	1988-02-16	1988.126509
seq_164	2004-01-01	2004.001366
seq_560	1991-01-01	1991.000000
NODE_0000376	1979-01-15	1979.038872
seq_069	1980-01-01	1980.001366
NODE_0000377	1982-09-10	1982.692263
seq_089	2006-01-01	2006.001370
NODE_0000378	1986-07-26	1986.564428
seq_165	2004-01-01	2004.001366
NODE_0000379	1990-03-30	1990.242106
seq_138	1996-01-01	1996.001366
NODE_0000380	2002-04-08	2002.268054
seq_449	2019-06-12	2019.445205
NODE_0000381	2009-06-07	2009.430758
seq_242	2012-01-01	2012.001366
seq_302	2016-01-12	2016.031421
NODE_0000382	1977-03-01	1977.162604
seq_018	1981-01-01	1981.001370
NODE_0000383	1980-09-16	1980.709989
NODE_0000384	1984-06-15	1984.454371
seq_049	1985-01-01	1985.001370
NODE_0000385	1986-05-18	1986.375840
seq_139	2003-01-01	2003.001370
NODE_0000386	1995-06-12	1995.446040
seq_072	2005-01-01	2005.001370
